,learning_rate,max_depth,n_estimators,objective,NDCG
0,0.05,20,110,rank:ndcg,0.39342709726621855
0,0.01,30,500,rank:pairwise,0.39317815348085056
0,0.01,20,200,rank:ndcg,0.3931569598971417
0,0.025,20,110,rank:map,0.393107321310177
0,0.1,15,200,rank:map,0.3930968330919268
0,0.3,8,300,rank:map,0.3929946407803823
0,0.01,6,110,rank:ndcg,0.3929023510629085
0,0.1,12,300,rank:ndcg,0.3927822966824083
0,0.1,15,150,rank:map,0.3926952542910429
0,0.1,30,110,rank:map,0.3925438952313873
0,0.1,20,150,rank:map,0.392513662228958
0,0.01,20,200,rank:map,0.3923565982815144
0,0.01,20,150,rank:ndcg,0.3923281635060545
0,0.1,12,200,rank:pairwise,0.39230379439068397
0,0.4,8,200,rank:ndcg,0.3917651826181509
0,0.05,20,150,rank:pairwise,0.3917587958447259
0,0.025,20,110,rank:ndcg,0.39143422130835664
0,0.1,20,110,rank:ndcg,0.39139127866550505
0,0.1,12,500,rank:map,0.3911784860857657
0,0.3,10,150,rank:ndcg,0.391067949829067
0,0.01,30,300,rank:ndcg,0.3909999509890108
0,0.1,12,300,rank:map,0.3909050790120012
0,0.01,20,150,rank:pairwise,0.3908746599668849
0,0.05,30,150,rank:pairwise,0.3907628728106453
0,0.3,20,200,rank:map,0.3903998922730656
0,0.1,15,110,rank:map,0.3903927835729025
0,0.1,20,110,rank:pairwise,0.39027546532986296
0,0.4,8,200,rank:map,0.3902023271317757
0,0.1,30,110,rank:ndcg,0.39008463943446986
0,0.3,10,110,rank:map,0.39007583588274397
0,0.01,30,200,rank:map,0.3900032397845497
0,0.01,20,150,rank:map,0.3896467260004205
0,0.025,30,150,rank:ndcg,0.38945056576742615
0,0.01,20,110,rank:ndcg,0.3894488460893111
0,0.01,30,200,rank:ndcg,0.38942775555591147
0,0.3,8,300,rank:pairwise,0.3890969801174804
0,0.1,12,300,rank:pairwise,0.3889763609936815
0,0.01,30,300,rank:pairwise,0.3889592767269796
0,0.05,20,110,rank:map,0.3888730781964832
0,0.1,15,300,rank:pairwise,0.388800261669326
0,0.01,30,150,rank:ndcg,0.3887841702747516
0,0.01,20,110,rank:pairwise,0.3886091366465149
0,0.1,20,110,rank:map,0.3885464533024384
0,0.1,12,500,rank:pairwise,0.3883032556711125
0,0.3,20,300,rank:map,0.3882606145918754
0,0.4,8,200,rank:pairwise,0.3880321435455496
0,0.025,30,200,rank:pairwise,0.3878996546849727
0,0.05,30,110,rank:map,0.387817367117092
0,0.1,15,200,rank:pairwise,0.3876656336554527
0,0.01,20,110,rank:map,0.3876478428682249
0,0.01,30,110,rank:map,0.3876273666583761
0,0.01,30,150,rank:map,0.3874628008757375
0,0.025,30,150,rank:map,0.3865602118833728
0,0.3,8,500,rank:ndcg,0.38633620367442506
0,0.3,20,150,rank:map,0.38623380746418395
0,0.1,30,110,rank:pairwise,0.3862192463075501
0,0.05,30,110,rank:pairwise,0.3860199823215908
0,0.3,20,110,rank:map,0.3859383325388331
0,0.4,30,500,rank:map,0.38589958116315215
0,0.025,30,110,rank:ndcg,0.3857343979125397
0,0.05,20,110,rank:pairwise,0.3854937932166458
0,0.01,30,200,rank:pairwise,0.38535281118207465
0,0.4,10,110,rank:map,0.3853508280379073
0,0.3,20,500,rank:map,0.385213619076713
0,0.05,30,110,rank:ndcg,0.3850648014829123
0,0.3,30,500,rank:ndcg,0.3845502943548733
0,0.1,15,150,rank:pairwise,0.3844400333160229
0,0.3,20,500,rank:ndcg,0.38423656088539293
0,0.01,30,110,rank:ndcg,0.3841880417900808
0,0.3,30,200,rank:ndcg,0.38409333814710495
0,0.025,30,150,rank:pairwise,0.3838771302081184
0,0.4,30,200,rank:map,0.38357897050294704
0,0.3,15,500,rank:map,0.38348618848925065
0,0.4,30,300,rank:map,0.38346178842428985
0,0.3,20,300,rank:ndcg,0.383446844464444
